Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10054	30/06/2008	87028	I	FS	62.7	Fuel Surcharge	0	0	0	0	Resene Taupo	S	0	I	169

C10055	30/06/2008	87134	I	CI/1	29768	Rural Living - Job 7409 - Delivery 24 Jun 2008 - 79 grams	0.0725	0.0816	2158.18	2427.953	Rural Living	S	269.77	I	169
C10055	30/06/2008	87134	I	FS	2158.18	Fuel Surcharge	0	0	0	0	Rural Living	S	0	I	169

C10056	30/06/2008		I	CI/1	73547	Rural News  - Job 7377 - Delivery 24 Jun 2008 - 225 grams	0.11	0.1238	8090.17	9101.441	Rural News 	S	1011.27	I	169
C10056	30/06/2008		I	CI/2	73542	Rural News  - Job 7368 - Delivery 04 Jun 2008 - 260 grams	0.125	0.1406	9192.75	10341.844	Rural News 	S	1149.09	I	169
C10056	30/06/2008		I	FS	17282.92	Fuel Surcharge	0	0	0	0	Rural News 	S	0	I	169

C10057	30/06/2008		I	CI/1	73542	Silvan Winter Flyer - Job 7371 - Delivery 09 Jun 2008 - 18 grams	0.0475	0.0534	3493.245	3929.901	Silvan Winter Flyer	S	436.66	I	169
C10057	30/06/2008		I	FS	3493.245	Fuel Surcharge	0	0	0	0	Silvan Winter Flyer	S	0	I	169

C10058	30/06/2008	87027	I	CI/1	10459	Vodafone - Job 7382 - Delivery 10 Jun 2008 - 10 grams	0.0475	0.0534	496.803	558.903	Vodafone	S	62.1	I	169
C10058	30/06/2008		I	CI/2	14688	Vodafone - Job 7387 - Delivery 14 Jun 2008 - 10 grams	0.0475	0.0534	697.68	784.89	Vodafone	S	87.21	I	169
C10058	30/06/2008		I	FS	1194.483	Fuel Surcharge	0	0	0	0	Vodafone	S	0	I	169

C10059	30/06/2008		I	CI/1	8945	Whangarei Report - Job 7538 - Delivery 26 Jun 2008 - 93 grams	0.0825	0.0928	737.963	830.208	Whangarei Report	S	92.25	I	169
C10059	30/06/2008		I	FS	737.963	Fuel Surcharge	0	0	0	0	Whangarei Report	S	0	I	169

C10060	30/06/2008	Awanui 08	I	CI/1	15400	Max Birt Sawmills - Awanui Auction 08 - Job 7378 - Delivery 13 Jun 2008 - 5 grams	0.085	0.0956	1309	1472.625	Max Birt Sawmills - Awanui Auction 08	S	163.63	I	172
C10060	30/06/2008	Awanui 08	I	FS	1309	Fuel Surcharge	0	0	0	0	Max Birt Sawmills - Awanui Auction 08	S	0	I	172

C10061	30/06/2008	Richard	I	CI/1	7360	New Plymouth Motorcycles Flyer - Job 7354 - Delivery 01 Jun 2008 - 10 grams	0.07	0.0788	515.2	579.6	New Plymouth Motorcycles Flyer	S	64.4	I	182
