Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C83106	30/09/2012		I	CI/3	11345.000	FCN - Thursday - Job 72896 - Delivery 20 Sep 2012 - 197 grams. Includes folding fee 0.0100 cents.  	0.1153	0.1326	1308.08	1504.29	FCN - Thursday	S	196.21	I	Fairfax - WRCN
C83106	30/09/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.00	1.15	FCN - Thursday	S	0.15	I	Fairfax - WRCN
C83106	30/09/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.00	20.70	FCN - Thursday	S	2.70	I	Fairfax - WRCN
C83106	30/09/2012		I	CI/4	11345.000	FCN - Thursday - Job 72897 - Delivery 27 Sep 2012 - 218 grams. Includes folding fee 0.0100 cents.  	0.1263	0.1452	1432.87	1647.80	FCN - Thursday	S	214.93	I	Fairfax - WRCN
C83106	30/09/2012		I	C100	1.000	Bundles	1.0000	1.1500	1.00	1.15	FCN - Thursday	S	0.15	I	Fairfax - WRCN
C83106	30/09/2012		I	C150	12.000	Bundles	1.5000	1.7250	18.00	20.70	FCN - Thursday	S	2.70	I	Fairfax - WRCN

C83107	30/09/2012		I	CI/1	11145.000	FCN - Tuesday - Job 72489 - Delivery 04 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	1098.90	1263.74	FCN - Tuesday	S	164.84	I	Fairfax - WRCN
C83107	30/09/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	Fairfax - WRCN
C83107	30/09/2012		I	CI/2	11145.000	FCN - Tuesday - Job 72490 - Delivery 11 Sep 2012 - 109 grams. Includes folding fee 0.0100 cents.  	0.1097	0.1262	1222.61	1406.00	FCN - Tuesday	S	183.39	I	Fairfax - WRCN
C83107	30/09/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	Fairfax - WRCN
C83107	30/09/2012		I	CI/3	11145.000	FCN - Tuesday - Job 72920 - Delivery 18 Sep 2012 - 76 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	1098.90	1263.74	FCN - Tuesday	S	164.84	I	Fairfax - WRCN
C83107	30/09/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	Fairfax - WRCN
C83107	30/09/2012		I	CI/4	11145.000	FCN - Tuesday - Job 72921 - Delivery 25 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	1098.90	1263.74	FCN - Tuesday	S	164.84	I	Fairfax - WRCN
C83107	30/09/2012		I	C150	13.000	Bundles	1.5000	1.7250	19.50	22.43	FCN - Tuesday	S	2.93	I	Fairfax - WRCN

C83108	30/09/2012		I	CI/1	2265.000	Matamata Chronicle - Job 72494 - Delivery 05 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	223.33	256.83	Matamata Chronicle	S	33.50	I	Fairfax - WRCN
C83108	30/09/2012		I	CI/2	2265.000	Matamata Chronicle - Job 72495 - Delivery 12 Sep 2012 - 87 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	223.33	256.83	Matamata Chronicle	S	33.50	I	Fairfax - WRCN
